Name,Address,City,Long,Lat,FACILITY_T,SHELTER_TY,Year_Built,Building,Risk_Capac,Risk_Squar
Eau Gallie HS,1400 Commodore Blvd,Melbourne,-80.64790297,28.13052901,SHELTER,RISK,1999,37 Science,571,11417
Meadowlane Primary ES,2800 Wingate Blvd,Melbourne,-80.66685852,28.06106061,SHELTER,RISK,1994,6 Cafeteria,227,4543
Central MS,2600 Wingate Blvd,W Melbourne,-80.66112327,28.06092648,SHELTER,RISK,1996,4 Cafeteria / Classroom,793,15852
Jupiter ES,950 Tupelo Road SW,Palm Bay,-80.69765803,27.98691801,SHELTER,RISK,1991,6 Cafeteria,230,4593
Atlantis ES,7300 Briggs Ave,Port St John,-80.79469781,28.48736336,SHELTER,RISK,1989,2 Classroom / Music,182,3636
Atlantis ES,7300 Briggs Ave,Port St John,-80.79469781,28.48736336,SHELTER,RISK,1989,3 Classroom,274,5488
Heritage HS,2353 W Malabar Rd,Palm Bay,-80.75432896,27.99409662,SHELTER,RISK,2009,7 Gym,1014,20277
Discovery ES,1275 Glendale Ave NW,Palm Bay,-80.71874598,28.02940902,SHELTER,RISK,1988,2 Classroom / Music,188,3754
Suntree ES,900 Pinehurst Ave,Melbourne,-80.68944397,28.24495152,SHELTER,RISK,1991,5 Classroom,341,6812
Space Coast Jr/Sr HS,6150 Banyan St,Port St. John,-80.82718967,28.47554023,SHELTER,RISK,1994,1 Media / Classroom,1277,25546
Port St. John Community Center,6650 Corto Rd,Port St. John,-80.80573899,28.474654,SHELTER,RISK,1999,Main,248,4962
Viera HS,6103 Stadium Pkwy,Viera,-80.73595001,28.252285,SHELTER,RISK,2005,6B Auditorium,906,18116
Hans Christian Andersen ES,3011 S Fiske Blvd,Rockledge,-80.74414298,28.30920001,SHELTER,RISK,1990,5 Classroom / Music,149,2988
Imperial Estates ES,5525 Kathy Dr,Titusville,-80.81349703,28.541038,SHELTER,RISK,1994,6 Classroom,231,4618
Space Coast Jr/Sr HS,6150 Banyan St,Port St. John,-80.82718967,28.47554023,SHELTER,RISK,1994,3 Music / Classroom,386,7716
Atlantis ES,7300 Briggs Ave,Port St John,-80.79469781,28.48736336,SHELTER,RISK,1989,5 Classroom,368,7368
Viera Regional Community Center,2300 Judge Fran Jamieson Way,Viera,-80.72831497,28.24794342,SHELTER,RISK,2005,Main,484,9675
Jupiter ES,950 Tupelo Road SW,Palm Bay,-80.69765803,27.98691801,SHELTER,RISK,1991,4 Classroom,302,6030
Riviera ES,351 Riviera Drive NE,Palm Bay,-80.64328203,28.029572,SHELTER,RISK,1989,3 Classroom,277,5543
Cambridge ES,2000 Cambridge Dr,Cocoa,-80.75003303,28.38340998,SHELTER,RISK,2003,16 Classroom,165,3298
Meadowlane Primary ES,2800 Wingate Blvd,Melbourne,-80.66685852,28.06106061,SHELTER,RISK,1994,3 Classroom,285,5706
Discovery ES,1275 Glendale Ave NW,Palm Bay,-80.71874598,28.02940902,SHELTER,RISK,1988,6 Cafeteria,230,4591
Imperial Estates ES,5525 Kathy Dr,Titusville,-80.81349703,28.541038,SHELTER,RISK,1994,8 Classroom,176,3512
Suntree ES,900 Pinehurst Ave,Melbourne,-80.68944397,28.24495152,SHELTER,RISK,1991,2 Classroom / Music,186,3714
Astronaut HS,800 War Eagle Blvd,Titusville,-80.85125901,28.62467099,SHELTER,RISK,1994,"1 (800s, 1994 area) ESE",135,2705
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,-80.67601797,27.95104698,SHELTER,RISK,1997,1 Admin,96,1911
Heritage HS,2353 W Malabar Rd,Palm Bay,-80.75432896,27.99409662,SHELTER,RISK,2009,4 Classroom,1013,20254
Central MS,2600 Wingate Blvd,W Melbourne,-80.66112327,28.06092648,SHELTER,RISK,1996,2 Gym / Classroom,1065,21309
Roy Allen ES,2601 Fountianhead Blvd,Melbourne,-80.66406597,28.11712199,SHELTER,RISK,2000,6 Classroom,1527,30549
Suntree ES,900 Pinehurst Ave,Melbourne,-80.68944397,28.24495152,SHELTER,RISK,1991,4 Classroom,302,6030
Westside ES,2175 DeGroodt Rd SW,Palm Bay,-80.67588793,27.94465997,SHELTER,RISK,1997,1 Classroom,1943,38864
Palm Bay HS,101 Pirate Ln,Melbourne,-80.61921298,28.04835602,SHELTER,RISK,2007,8 Cafeteria,227,4536
Viera HS,6103 Stadium Pkwy,Viera,-80.73595001,28.252285,SHELTER,RISK,2005,6A Cafeteria,581,11622
Meadowlane Primary ES,2800 Wingate Blvd,Melbourne,-80.66685852,28.06106061,SHELTER,RISK,2005,11 Classroom,277,5535
Walter Butler Community Center,Ferguson Lane,Sharpes,-80.75593,28.43166,SHELTER,RISK,2005,Main,484,9675
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,-80.67601797,27.95104698,SHELTER,RISK,1997,5 Cafeteria,268,5357
Meadowlane Primary ES,2800 Wingate Blvd,Melbourne,-80.66685852,28.06106061,SHELTER,RISK,1994,2 Classroom / Music,189,3773
Suntree ES,900 Pinehurst Ave,Melbourne,-80.68944397,28.24495152,SHELTER,RISK,1991,6 Cafeteria,230,4593
Heritage HS,2353 W Malabar Rd,Palm Bay,-80.75432896,27.99409662,SHELTER,RISK,2009,3 Cafeteria,321,6422
Riviera ES,351 Riviera Dr NE,Palm Bay,-80.64328203,28.029572,SHELTER,RISK,1989,2 Classroom / Music,181,3626
Jupiter ES,950 Tupelo Road SW,Palm Bay,-80.69765803,27.98691801,SHELTER,RISK,1991,3 Classroom,280,5601
Endeavor ES,905 Pineda St,Cocoa,-80.74776899,28.368414,SHELTER,RISK,2003,13 Classroom,336,6722
Central MS,2600 Wingate Blvd,W Melbourne,-80.66112327,28.06092648,SHELTER,RISK,1996,1 Admin / Classroom,1189,23773
Astronaut HS,800 War Eagle Blvd,Titusville,-80.85125901,28.62467099,SHELTER,RISK,1994,"1 (400s, 1994 area) Classroom",194,3885
Hans Christian Andersen ES,3011 S Fiske Blvd,Rockledge,-80.74414298,28.30920001,SHELTER,RISK,1990,4 Cafeteria,128,2569
Eau Gallie HS,1400 Commodore Blvd,Melbourne,-80.64790297,28.13052901,SHELTER,RISK,1993,22 Auditorium (excluding Lobby),498,9950
Bayside HS,1901 DeGroodt Rd SW,Palm Bay,-80.67601797,27.95104698,SHELTER,RISK,1997,3 Music,274,5478
Space Coast Jr/Sr HS,6150 Banyan St,Port St. John,-80.82718967,28.47554023,SHELTER,RISK,1994,2 Gym / Classroom,935,18707
Enterprise ES,7000 Enterprise Rd,Port St. John,-80.82356743,28.47554708,SHELTER,RISK,1994,6 Cafeteria,227,4543
Atlantis ES,7300 Briggs Ave,Port St John,-80.79469781,28.48736336,SHELTER,RISK,1989,4 Classroom,236,4717
Cambridge ES,2000 Cambridge Dr,Cocoa,-80.75003303,28.38340998,SHELTER,RISK,2003,15 Classroom / Music,158,3153
John F. Turner Sr. ES,3175 Jupiter Blvd SE,Palm Bay,-80.66043277,27.98746686,SHELTER,RISK,2003,3 Classroom / Music,256,5126
Manatee ES,3425 Viera Blvd,Viera,-80.744549,28.26308801,SHELTER,RISK,2003,1 Main,2002,40043
Imperial Estates ES,5525 Kathy Dr,Titusville,-80.81349703,28.541038,SHELTER,RISK,1994,5 Classroom,263,5268
Pinewood ES,3654 Lionel Rd,Mims,-80.85785643,28.70313814,SHELTER,RISK,1996,4 Classroom,475,9508
Discovery ES,1275 Glendale Ave NW,Palm Bay,-80.71874598,28.02940902,SHELTER,RISK,1988,3 Classroom,278,5553
Challenger ES,5700 NW 94 Ave,Tamarac,-80.27596385,26.19565855,SHELTER,RISK,2000,1 Main,2410,48207
Silver Trail MS,18300 Sheridan St,Pembroke Pines,-80.39116592,26.02918628,SHELTER,RISK,1995,1 Main,1251,25014
Pines MS,200 NW Douglas Rd,Pembroke Pines,-80.26399091,26.01009342,SHELTER,RISK,2005,11 Main,1210,24200
Lakeside ES,900 NW 136 Ave,Pembroke Pines,-80.33115001,26.01305001,SHELTER,RISK,1997,1 Main,2335,46697
Everglades ES,2900 Bonaventure Blvd,Weston,-80.39010617,26.0844872,SHELTER,RISK,1998,1 Main,2287,45745
Pompano Beach HS,600 NE 13th Ave,Pompano Beach,-80.1105226,26.23666003,SHELTER,RISK,2002,10 Classroom / Admin / Cafeteria,1800,36000
Tradewinds ES,5400 Johnson Rd,Coconut Creek,-80.19962653,26.31184519,SHELTER,RISK,1995,1 Main,2337,46730
Orange Brook ES,715 S 46th Ave,Hollywood,-80.18836999,26.00376001,SHELTER,RISK,2006,16 Main,815,16300
Floranada ES,5251 NE 14th Way,Ft. Lauderdale,-80.12908999,26.19135002,SHELTER,RISK,1999,1 Main,800,16000
Rock Island ES,2350 NW 19th St,Ft. Lauderdale,-80.17266355,26.15118123,SHELTER,RISK,2001,1 Main,800,16000
Manatee Bay ES,19200 SW 36 St,Weston,-80.4024531,26.07544441,SHELTER,RISK,2001,1 Main,2297,45934
Park Trails ES,10700 Trails End,Parkland,-80.26677247,26.32000684,SHELTER,RISK,2000,1 Main,2425,48509
Watkins ES,3520 SW 52nd Ave,Pembroke Park,-80.19557902,25.97818598,SHELTER,RISK,1995,1 Main,2389,47778
Coral Glades HS,2700 Sports Plex Dr,Coral Springs,-80.29427725,26.26180138,SHELTER,RISK,2003,3 Cafeteria / Gym / Music,1696,33916
Panther Run ES,801 NW 172 Ave,Pembroke Pines,-80.37657502,26.01165364,SHELTER,RISK,1997,1 Main,2394,47887
ATC - Arthur Ashe Jr Campus,1701 NW 23 Ave,Ft. Lauderdale,-80.17062491,26.15034959,SHELTER,RISK,2001,1 Main,1132,22642
New Renaissance MS,10701 Miramar Blvd,Miramar,-80.28746682,25.98633041,SHELTER,RISK,2000,3 Cafeteria / Gym,1181,23623
Beachside Montessori Village,2230 Lincoln St,Hollywood,-80.15225002,26.01676001,SHELTER,RISK,2008,1 Main,1060,5981
Plantation ES,651 NW 42nd Ave,Plantation,-80.20443577,26.13168642,SHELTER,RISK,1999,1 Main,2384,47676
Monarch HS,5050 Wiles Rd,Coconut Creek,-80.19155998,26.28422,SHELTER,RISK,2002,4 Cafeteria / Gym,1089,21782
Silver Palms ES,1209 NW 155th Ave,Pembroke Pines,-80.35007071,26.01804627,SHELTER,RISK,1995,1 Main,2328,46566
Gator Run ES,1101 Arvida Pkwy,Weston,-80.41694418,26.1210978,SHELTER,RISK,1998,1 Main,2287,45741
Coral Cove ES,5100 SW 148 Ave,Miramar,-80.34374424,25.96436987,SHELTER,RISK,2004,1 Main,800,16000
Park Lakes ES,3925 N SR 7,Lauderdale Lakes,-80.20419997,26.17606,SHELTER,RISK,2000,1 Main,2384,47676
Sunset Lakes ES,18400 SW 25 St,Miramar,-80.39331004,25.98474,SHELTER,RISK,2002,1 Main,2303,46067
Coconut Palm ES,13601 Monarch Lakes Blvd,Miramar,-80.32777509,25.98532232,SHELTER,RISK,2000,1 Main,2299,45982
Silver Lakes ES,2300 SW 173 Ave,Miramar,-80.377289,25.98605454,SHELTER,RISK,1997,1 Main,2406,48118
Fox Trail ES,1250 Nob Hill Rd,Davie,-80.27797304,26.10447801,SHELTER,RISK,1997,1 Main,2389,47778
Liberty ES,2450 Banks Rd,Margate,-80.19352201,26.25901101,SHELTER,RISK,2001,1 Main,2303,46067
Parkside ES,10257 NW 29th St,Coral Springs,-80.26337515,26.26723393,SHELTER,RISK,1999,1 Main,1214,24273
West Broward HS,500 NW 209th Ave,Pembroke Pines,-80.43035001,26.01213001,SHELTER,RISK,2007,3 Gym / Arts / Cafeteria,1258,25155
Dolphin Bay ES,16450 Miramar Pkwy,Miramar,-80.36665144,25.97844629,SHELTER,RISK,2005,1 Main,815,16300
Millennium MS,5803 NW 94th Ave,Tamarac,-80.2762081,26.19607673,SHELTER,RISK,2001,3 Cafeteria / Music,825,16492
Gulf Stream Academy K-8,900 SW 8th St,Hallandale,-80.1609958,25.9768015,SHELTER,RISK,2003,1 Classroom,1637,32746
Silver Shores ES,1701 SW 160 Ave,Miramar,-80.36167531,25.99186094,SHELTER,RISK,2002,1 Main,2295,45892
Altha ES,25820 NE Fuqua Cir,Altha,-85.12350375,30.5737529,SHELTER,RISK,2018,5 Classroom,193,3868
